Team Code,Team Name,Conference,Game Code,Date,Rush Yard,Pass Yard,Total Yards,Bye,Off Points,Def Points,Result
67,Boston College,Atlantic Coast Conference,6.70E+13,10/12/2013,94,192,286,,4,29,L
67,Boston College,Atlantic Coast Conference,6.70E+13,10/26/2013,202,59,261,,5,40,L
67,Boston College,Atlantic Coast Conference,6.71E+13,9/14/2013,101,83,184,,9,27,L
147,Clemson,Atlantic Coast Conference,1.47E+14,10/5/2013,158,466,624,,36,5,W
147,Clemson,Atlantic Coast Conference,1.47E+14,11/2/2013,175,435,610,x,24,7,W
147,Clemson,Atlantic Coast Conference,1.47E+14,1/3/2014,198,378,576,,24,2,W
147,Clemson,Atlantic Coast Conference,7.49E+14,9/28/2013,166,407,573,,36,11,W
147,Clemson,Atlantic Coast Conference,1.41E+14,11/23/2013,208,350,558,,36,3,W
147,Clemson,Atlantic Coast Conference,1.47E+14,10/26/2013,247,304,551,,28,13,W
147,Clemson,Atlantic Coast Conference,2.55E+14,11/14/2013,168,383,551,,29,17,W
147,Clemson,Atlantic Coast Conference,6.47E+14,9/7/2013,183,329,512,,21,20,W
147,Clemson,Atlantic Coast Conference,6.70E+13,10/12/2013,162,334,496,,23,13,W
147,Clemson,Atlantic Coast Conference,2.57E+14,8/31/2013,197,270,467,,35,4,W
147,Clemson,Atlantic Coast Conference,1.47E+14,9/19/2013,171,244,415,,3,9,L
147,Clemson,Atlantic Coast Conference,1.47E+14,11/30/2013,127,225,352,,2,29,L
147,Clemson,Atlantic Coast Conference,2.34E+14,10/19/2013,123,203,326,,6,18,L
193,Duke,Atlantic Coast Conference,1.93E+14,12/31/2013,234,427,661,,25,6,W
193,Duke,Atlantic Coast Conference,4.15E+14,11/16/2013,358,185,543,,38,5,W
193,Duke,Atlantic Coast Conference,4.89E+14,8/31/2013,257,231,488,,26,21,W
193,Duke,Atlantic Coast Conference,1.93E+14,9/7/2013,173,297,470,,24,19,W
193,Duke,Atlantic Coast Conference,7.16E+14,9/28/2013,190,324,514,,36,17,W
193,Duke,Atlantic Coast Conference,7.26E+14,10/12/2013,134,301,435,,35,8,W
193,Duke,Atlantic Coast Conference,1.93E+14,10/19/2013,180,292,472,,21,3,W
193,Duke,Atlantic Coast Conference,1.93E+14,10/26/2013,91,107,198,,35,16,W
193,Duke,Atlantic Coast Conference,5.45E+14,9/21/2013,213,319,532,,30,5,W
193,Duke,Atlantic Coast Conference,1.93E+14,11/30/2013,187,274,461,,27,6,W
193,Duke,Atlantic Coast Conference,1.93E+14,11/23/2013,121,257,378,x,4,34,L
193,Duke,Atlantic Coast Conference,4.90E+14,11/9/2013,123,198,321,,1,18,L
193,Duke,Atlantic Coast Conference,2.55E+14,9/14/2013,132,122,254,,3,12,L
193,Duke,Atlantic Coast Conference,1.93E+14,12/7/2013,99,140,239,,5,32,L
235,Florida,Southeastern Conference,7.09E+14,8/31/2013,262,153,415,,2,9,L
235,Florida,Southeastern Conference,2.35E+14,9/7/2013,122,291,413,,2,23,L
235,Florida,Southeastern Conference,2.35E+14,9/28/2013,246,156,402,,6,13,L
235,Florida,Southeastern Conference,6.94E+14,9/21/2013,215,167,382,,7,29,L
235,Florida,Southeastern Conference,3.10E+13,10/5/2013,115,240,355,,3,27,L
235,Florida,Southeastern Conference,7.36E+14,11/9/2013,39,305,344,,4,22,L
235,Florida,Southeastern Conference,2.57E+14,11/2/2013,145,174,319,,5,36,L
235,Florida,Southeastern Conference,2.35E+14,11/16/2013,200,107,307,x,4,5,L
235,Florida,Southeastern Conference,2.53E+14,11/23/2013,157,122,279,,9,27,L
235,Florida,Southeastern Conference,2.35E+14,10/12/2013,111,129,240,,9,14,L
235,Florida,Southeastern Conference,2.34E+14,11/30/2013,78,115,193,,4,22,L
235,Florida,Southeastern Conference,2.35E+14,10/19/2013,59,92,151,,9,10,L
234,Florida State,Atlantic Coast Conference,2.95E+14,11/23/2013,336,309,645,,34,4,W
234,Florida State,Atlantic Coast Conference,4.66E+14,9/14/2013,377,240,617,,31,8,W
234,Florida State,Atlantic Coast Conference,3.92E+14,10/5/2013,183,431,614,,37,3,W
234,Florida State,Atlantic Coast Conference,1.93E+14,12/7/2013,239,330,569,,27,17,W
234,Florida State,Atlantic Coast Conference,4.90E+14,10/26/2013,224,342,566,,28,12,W
234,Florida State,Atlantic Coast Conference,2.34E+14,10/19/2013,121,444,565,,34,21,W
234,Florida State,Atlantic Coast Conference,2.34E+14,9/2/2013,156,377,533,,22,6,W
234,Florida State,Atlantic Coast Conference,6.88E+14,11/16/2013,225,298,523,,25,7,W
234,Florida State,Atlantic Coast Conference,4.15E+14,11/2/2013,192,325,517,x,27,11,W
234,Florida State,Atlantic Coast Conference,6.10E+13,9/21/2013,266,226,492,,23,12,W
234,Florida State,Atlantic Coast Conference,2.34E+14,9/28/2013,159,330,489,,37,10,W
234,Florida State,Atlantic Coast Conference,2.34E+14,11/30/2013,129,327,456,,34,18,W
234,Florida State,Atlantic Coast Conference,3.70E+13,1/6/2014,148,237,385,,8,15,L
234,Florida State,Atlantic Coast Conference,2.34E+14,11/9/2013,89,207,296,,9,10,L
257,Georgia,Southeastern Conference,4.97E+14,9/21/2013,191,450,641,,22,20,W
257,Georgia,Southeastern Conference,3.34E+14,11/23/2013,230,372,602,,35,13,W
257,Georgia,Southeastern Conference,2.70E+13,11/9/2013,127,441,568,x,24,21,W
257,Georgia,Southeastern Conference,2.57E+14,8/31/2013,222,323,545,,37,4,W
257,Georgia,Southeastern Conference,6.48E+14,9/7/2013,227,309,536,,37,4,W
257,Georgia,Southeastern Conference,2.57E+14,11/16/2013,117,415,532,,31,13,W
257,Georgia,Southeastern Conference,3.65E+14,9/28/2013,196,298,494,,24,4,W
257,Georgia,Southeastern Conference,4.34E+14,10/12/2013,164,290,454,,38,3,W
257,Georgia,Southeastern Conference,2.57E+14,11/30/2013,138,299,437,,35,2,W
257,Georgia,Southeastern Conference,2.57E+14,10/5/2013,238,196,434,,33,6,W
257,Georgia,Southeastern Conference,4.63E+14,1/1/2014,96,320,416,,8,13,L
257,Georgia,Southeastern Conference,2.57E+14,11/2/2013,156,258,414,,3,38,L
257,Georgia,Southeastern Conference,2.57E+14,10/19/2013,107,114,221,,6,19,L
255,Georgia Tech,Atlantic Coast Conference,2.57E+14,11/30/2013,263,232,495,,39,10,W
255,Georgia Tech,Atlantic Coast Conference,1.07E+15,8/31/2013,368,189,557,,36,18,W
255,Georgia Tech,Atlantic Coast Conference,2.55E+14,9/14/2013,344,125,469,,22,21,W
255,Georgia Tech,Atlantic Coast Conference,4.57E+14,9/21/2013,324,104,428,,31,11,W
255,Georgia Tech,Atlantic Coast Conference,6.88E+14,10/19/2013,394,88,482,,39,17,W
255,Georgia Tech,Atlantic Coast Conference,2.55E+14,10/26/2013,394,113,507,,29,4,W
255,Georgia Tech,Atlantic Coast Conference,6.03E+12,11/23/2013,428,48,476,,24,3,W
255,Georgia Tech,Atlantic Coast Conference,2.55E+14,11/14/2013,248,192,440,,38,15,W
255,Georgia Tech,Atlantic Coast Conference,2.55E+14,10/5/2013,335,66,401,,9,11,L
255,Georgia Tech,Atlantic Coast Conference,2.55E+14,10/12/2013,237,163,400,,7,27,L
255,Georgia Tech,Atlantic Coast Conference,5.45E+14,11/2/2013,276,84,360,x,8,17,L
255,Georgia Tech,Atlantic Coast Conference,4.33E+14,12/30/2013,151,147,298,,7,13,L
255,Georgia Tech,Atlantic Coast Conference,7.42E+14,9/26/2013,129,144,273,,2,17,L
334,Kentucky,Southeastern Conference,4.14E+14,9/7/2013,262,413,675,,27,10,W
334,Kentucky,Southeastern Conference,7.03E+12,11/2/2013,233,189,422,x,28,12,W
334,Kentucky,Southeastern Conference,3.34E+14,8/31/2013,216,203,419,,6,8,L
334,Kentucky,Southeastern Conference,6.94E+14,11/30/2013,139,254,393,,2,35,L
334,Kentucky,Southeastern Conference,3.67E+14,9/14/2013,162,214,376,,2,10,L
334,Kentucky,Southeastern Conference,4.34E+14,11/9/2013,134,235,369,,2,10,L
334,Kentucky,Southeastern Conference,3.34E+14,10/24/2013,160,165,325,,8,18,L
334,Kentucky,Southeastern Conference,3.34E+14,10/5/2013,123,178,301,,6,26,L
334,Kentucky,Southeastern Conference,3.34E+14,11/16/2013,142,120,262,,5,39,L
334,Kentucky,Southeastern Conference,3.34E+14,11/23/2013,62,149,211,,4,22,L
334,Kentucky,Southeastern Conference,2.35E+14,9/28/2013,48,125,173,,6,40,L
334,Kentucky,Southeastern Conference,8.03E+12,10/12/2013,94,76,170,,2,19,L
365,LSU,Southeastern Conference,2.44E+14,10/26/2013,332,340,672,,39,12,W
365,LSU,Southeastern Conference,3.31E+14,9/14/2013,307,264,571,,21,6,W
365,LSU,Southeastern Conference,3.65E+14,10/5/2013,223,340,563,,38,6,W
365,LSU,Southeastern Conference,6.97E+14,11/23/2013,324,193,517,,22,11,W
365,LSU,Southeastern Conference,3.10E+13,11/29/2013,238,232,470,,33,13,W
365,LSU,Southeastern Conference,3.70E+13,9/21/2013,228,229,457,,29,3,W
365,LSU,Southeastern Conference,3.65E+14,9/28/2013,77,372,449,,20,17,W
365,LSU,Southeastern Conference,3.65E+14,8/31/2013,197,251,448,,37,5,W
365,LSU,Southeastern Conference,9.04E+12,9/7/2013,152,293,445,,33,4,W
365,LSU,Southeastern Conference,3.65E+14,10/19/2013,114,274,388,x,9,20,L
365,LSU,Southeastern Conference,2.35E+14,10/12/2013,175,152,327,,6,35,L
365,LSU,Southeastern Conference,3.12E+14,1/1/2014,220,82,302,,8,39,L
365,LSU,Southeastern Conference,3.65E+14,11/9/2013,43,241,284,,7,24,L
392,Maryland,Atlantic Coast Conference,3.92E+14,11/30/2013,173,259,432,,29,18,W
392,Maryland,Atlantic Coast Conference,2.31E+14,8/31/2013,251,325,576,,30,18,W
392,Maryland,Atlantic Coast Conference,5.23E+14,9/7/2013,312,275,587,,28,21,W
392,Maryland,Atlantic Coast Conference,3.92E+14,9/14/2013,224,277,501,,27,16,W
392,Maryland,Atlantic Coast Conference,7.68E+14,9/21/2013,120,210,330,,37,6,W
392,Maryland,Atlantic Coast Conference,7.46E+14,10/12/2013,136,332,468,,29,11,W
392,Maryland,Atlantic Coast Conference,3.88E+14,12/27/2013,194,197,391,,2,17,L
392,Maryland,Atlantic Coast Conference,3.92E+14,10/19/2013,39,344,383,,9,40,L
392,Maryland,Atlantic Coast Conference,1.47E+14,10/26/2013,82,282,364,x,8,29,L
392,Maryland,Atlantic Coast Conference,3.92E+14,11/16/2013,184,135,319,,1,19,L
392,Maryland,Atlantic Coast Conference,6.88E+14,11/9/2013,81,211,292,,3,31,L
392,Maryland,Atlantic Coast Conference,6.70E+13,11/23/2013,100,178,278,,4,21,L
392,Maryland,Atlantic Coast Conference,3.92E+14,10/5/2013,33,201,234,,8,12,L
415,Miami (Florida),Atlantic Coast Conference,6.32E+14,9/21/2013,324,313,637,,21,5,W
415,Miami (Florida),Atlantic Coast Conference,4.15E+14,11/16/2013,186,379,565,,33,10,W
415,Miami (Florida),Atlantic Coast Conference,4.15E+14,10/17/2013,234,322,556,x,30,8,W
415,Miami (Florida),Atlantic Coast Conference,2.55E+14,10/5/2013,227,324,551,,27,3,W
415,Miami (Florida),Atlantic Coast Conference,4.15E+14,9/28/2013,165,375,540,,39,18,W
415,Miami (Florida),Atlantic Coast Conference,2.29E+14,8/30/2013,303,200,503,,28,16,W
415,Miami (Florida),Atlantic Coast Conference,4.15E+14,11/29/2013,180,296,476,,34,7,W
415,Miami (Florida),Atlantic Coast Conference,7.49E+14,10/26/2013,200,191,391,,5,16,L
415,Miami (Florida),Atlantic Coast Conference,7.42E+14,11/9/2013,28,324,352,,4,29,L
415,Miami (Florida),Atlantic Coast Conference,7.46E+14,11/23/2013,90,214,304,,4,41,L
415,Miami (Florida),Atlantic Coast Conference,4.15E+14,11/2/2013,83,192,275,,3,19,L
415,Miami (Florida),Atlantic Coast Conference,2.35E+14,9/7/2013,50,162,212,,2,28,L
415,Miami (Florida),Atlantic Coast Conference,4.15E+14,12/28/2013,14,160,174,,7,32,L
433,Mississippi,Southeastern Conference,7.16E+14,11/16/2013,382,369,751,,28,3,W
433,Mississippi,Southeastern Conference,3.10E+13,11/9/2013,103,428,531,,38,18,W
433,Mississippi,Southeastern Conference,4.33E+14,12/30/2013,221,256,477,,35,14,W
433,Mississippi,Southeastern Conference,4.33E+14,10/5/2013,124,340,464,,24,2,W
433,Mississippi,Southeastern Conference,6.97E+14,10/12/2013,133,329,462,,28,12,W
433,Mississippi,Southeastern Conference,4.33E+14,9/14/2013,272,177,449,,30,3,W
433,Mississippi,Southeastern Conference,4.33E+14,8/29/2013,206,283,489,,35,6,W
433,Mississippi,Southeastern Conference,6.54E+14,9/7/2013,272,260,532,,22,3,W
433,Mississippi,Southeastern Conference,3.65E+14,10/19/2013,176,349,525,x,22,14,W
433,Mississippi,Southeastern Conference,2.95E+14,10/26/2013,292,280,572,,26,7,W
433,Mississippi,Southeastern Conference,4.34E+14,11/23/2013,126,252,378,,7,24,L
433,Mississippi,Southeastern Conference,4.33E+14,11/28/2013,117,201,318,,7,35,L
433,Mississippi,Southeastern Conference,4.33E+14,9/28/2013,46,159,205,,8,20,L
430,Mississippi State,Southeastern Conference,4.30E+14,11/9/2013,299,257,556,,29,21,W
430,Mississippi State,Southeastern Conference,5.74E+14,12/31/2013,239,294,533,,25,8,W
430,Mississippi State,Southeastern Conference,4.30E+14,11/23/2013,191,297,488,,34,2,W
430,Mississippi State,Southeastern Conference,3.65E+14,10/5/2013,216,252,468,,39,6,W
430,Mississippi State,Southeastern Conference,4.30E+14,9/14/2013,202,213,415,,4,15,L
430,Mississippi State,Southeastern Conference,1.70E+13,9/7/2013,277,279,556,,38,5,W
430,Mississippi State,Southeastern Conference,7.16E+14,9/21/2013,235,316,551,,30,17,W
430,Mississippi State,Southeastern Conference,7.10E+13,10/12/2013,245,177,422,,31,20,W
430,Mississippi State,Southeastern Conference,3.34E+14,10/24/2013,152,295,447,x,25,15,W
430,Mississippi State,Southeastern Conference,4.30E+14,11/2/2013,150,235,385,,8,39,L
430,Mississippi State,Southeastern Conference,4.30E+14,8/31/2013,111,222,333,,3,16,L
430,Mississippi State,Southeastern Conference,4.33E+14,11/28/2013,99,197,296,,4,13,L
430,Mississippi State,Southeastern Conference,8.04E+12,11/16/2013,53,144,197,,4,27,L
434,Missouri,Southeastern Conference,4.34E+14,12/7/2013,231,303,534,,20,19,W
434,Missouri,Southeastern Conference,6.94E+14,11/2/2013,339,163,502,x,28,19,W
434,Missouri,Southeastern Conference,2.35E+14,10/19/2013,205,295,500,,31,14,W
434,Missouri,Southeastern Conference,4.34E+14,11/23/2013,260,225,485,,26,12,W
434,Missouri,Southeastern Conference,6.97E+14,11/30/2013,225,238,463,,34,19,W
434,Missouri,Southeastern Conference,5.21E+14,1/3/2014,256,206,462,,34,4,W
434,Missouri,Southeastern Conference,4.34E+14,11/9/2013,223,203,426,,23,16,W
434,Missouri,Southeastern Conference,6.48E+14,10/26/2013,155,249,404,,1,23,L
434,Missouri,Southeastern Conference,4.54E+14,8/31/2013,358,336,694,,27,12,W
434,Missouri,Southeastern Conference,7.09E+14,9/7/2013,172,212,384,,20,19,W
434,Missouri,Southeastern Conference,4.34E+14,9/21/2013,280,343,623,,22,11,W
434,Missouri,Southeastern Conference,3.00E+13,9/28/2013,239,256,495,,32,17,W
434,Missouri,Southeastern Conference,4.34E+14,10/5/2013,245,278,523,,27,5,W
434,Missouri,Southeastern Conference,4.34E+14,10/12/2013,142,233,375,,9,32,L
457,North Carolina,Atlantic Coast Conference,5.23E+14,11/23/2013,312,409,721,,26,21,W
457,North Carolina,Atlantic Coast Conference,4.15E+14,10/17/2013,105,395,500,,31,6,W
457,North Carolina,Atlantic Coast Conference,1.96E+14,9/28/2013,67,398,465,,22,11,W
457,North Carolina,Atlantic Coast Conference,1.93E+14,11/30/2013,225,223,448,,26,19,W
457,North Carolina,Atlantic Coast Conference,4.57E+14,11/2/2013,152,275,427,x,22,9,W
457,North Carolina,Atlantic Coast Conference,7.46E+14,11/9/2013,201,214,415,,9,20,L
457,North Carolina,Atlantic Coast Conference,6.70E+13,10/26/2013,110,282,392,,3,6,L
457,North Carolina,Atlantic Coast Conference,4.57E+14,10/5/2013,99,277,376,,9,26,L
457,North Carolina,Atlantic Coast Conference,4.19E+14,9/7/2013,134,377,511,,36,5,W
457,North Carolina,Atlantic Coast Conference,1.40E+14,12/28/2013,174,171,345,,5,39,L
457,North Carolina,Atlantic Coast Conference,4.57E+14,11/16/2013,149,173,322,,5,20,L
457,North Carolina,Atlantic Coast Conference,4.57E+14,9/21/2013,101,218,319,,5,9,L
457,North Carolina,Atlantic Coast Conference,4.57E+14,8/29/2013,99,194,293,,8,18,L
490,North Carolina State,Atlantic Coast Conference,1.96E+14,11/23/2013,129,312,441,,37,2,W
490,North Carolina State,Atlantic Coast Conference,4.90E+14,11/9/2013,164,248,412,,8,33,L
490,North Carolina State,Atlantic Coast Conference,4.57E+14,11/2/2013,212,176,388,x,7,8,L
490,North Carolina State,Atlantic Coast Conference,1.47E+14,9/19/2013,165,213,378,,2,3,L
490,North Carolina State,Atlantic Coast Conference,4.90E+14,10/5/2013,115,257,372,,9,12,L
490,North Carolina State,Atlantic Coast Conference,4.90E+14,11/16/2013,35,325,360,,7,17,L
490,North Carolina State,Atlantic Coast Conference,6.88E+14,10/12/2013,129,226,355,,9,22,L
490,North Carolina State,Atlantic Coast Conference,3.66E+14,8/31/2013,237,305,542,,21,16,W
490,North Carolina State,Atlantic Coast Conference,5.75E+14,9/7/2013,188,256,444,,38,16,W
490,North Carolina State,Atlantic Coast Conference,1.29E+14,9/28/2013,239,244,483,,31,13,W
490,North Carolina State,Atlantic Coast Conference,3.92E+14,11/30/2013,151,200,351,,6,10,L
490,North Carolina State,Atlantic Coast Conference,4.90E+14,10/26/2013,188,128,316,,2,28,L
545,Pittsburgh,Atlantic Coast Conference,4.15E+14,11/29/2013,220,281,501,,20,13,W
545,Pittsburgh,Atlantic Coast Conference,5.45E+14,12/26/2013,255,232,487,,22,12,W
545,Pittsburgh,Atlantic Coast Conference,4.57E+14,11/16/2013,46,313,359,,3,13,L
545,Pittsburgh,Atlantic Coast Conference,5.13E+14,11/9/2013,112,243,355,,5,7,L
545,Pittsburgh,Atlantic Coast Conference,4.73E+14,9/14/2013,283,244,527,,31,4,W
545,Pittsburgh,Atlantic Coast Conference,5.45E+14,9/21/2013,174,424,598,,22,9,W
545,Pittsburgh,Atlantic Coast Conference,7.46E+14,9/28/2013,8,191,199,,33,15,W
545,Pittsburgh,Atlantic Coast Conference,5.23E+14,10/19/2013,266,104,370,,26,2,W
545,Pittsburgh,Atlantic Coast Conference,5.45E+14,10/26/2013,135,203,338,x,3,27,L
545,Pittsburgh,Atlantic Coast Conference,2.34E+14,9/2/2013,96,201,297,,3,20,L
545,Pittsburgh,Atlantic Coast Conference,5.45E+14,11/23/2013,21,218,239,,7,15,L
545,Pittsburgh,Atlantic Coast Conference,5.45E+14,11/2/2013,-5,233,228,,5,21,L
545,Pittsburgh,Atlantic Coast Conference,5.45E+14,10/12/2013,23,187,210,,7,14,L
648,South Carolina,Southeastern Conference,1.49E+14,11/23/2013,352,287,639,,39,20,W
648,South Carolina,Southeastern Conference,7.36E+14,9/14/2013,220,359,579,,35,19,W
648,South Carolina,Southeastern Conference,6.48E+14,10/12/2013,277,260,537,,32,15,W
648,South Carolina,Southeastern Conference,6.48E+14,10/26/2013,75,423,498,,28,13,W
648,South Carolina,Southeastern Conference,6.48E+14,9/28/2013,225,265,490,,34,5,W
648,South Carolina,Southeastern Conference,6.48E+14,9/7/2013,226,228,454,,35,9,W
648,South Carolina,Southeastern Conference,3.34E+14,10/5/2013,178,275,453,,22,21,W
648,South Carolina,Southeastern Conference,7.96E+14,1/1/2014,117,321,438,,37,18,W
648,South Carolina,Southeastern Conference,4.57E+14,8/29/2013,228,178,406,,8,29,L
648,South Carolina,Southeastern Conference,6.48E+14,10/19/2013,218,166,384,x,7,20,L
648,South Carolina,Southeastern Conference,2.35E+14,11/16/2013,164,213,377,,9,20,L
648,South Carolina,Southeastern Conference,1.47E+14,11/30/2013,140,178,318,,9,20,L
648,South Carolina,Southeastern Conference,4.30E+14,11/2/2013,160,147,307,,1,20,L
688,Syracuse,Atlantic Coast Conference,6.71E+13,11/30/2013,210,270,480,,36,7,W
688,Syracuse,Atlantic Coast Conference,6.88E+14,9/7/2013,133,301,434,,29,7,W
688,Syracuse,Atlantic Coast Conference,1.47E+14,10/5/2013,323,74,397,,8,20,L
688,Syracuse,Atlantic Coast Conference,6.88E+14,12/27/2013,208,188,396,,5,36,L
688,Syracuse,Atlantic Coast Conference,6.88E+14,11/9/2013,242,140,382,,6,24,L
688,Syracuse,Atlantic Coast Conference,7.49E+14,11/2/2013,183,169,352,,8,36,L
688,Syracuse,Atlantic Coast Conference,7.48E+14,9/14/2013,236,359,595,,21,20,W
688,Syracuse,Atlantic Coast Conference,7.18E+14,9/21/2013,205,200,405,,39,13,W
688,Syracuse,Atlantic Coast Conference,6.88E+14,10/12/2013,362,74,436,,23,10,W
688,Syracuse,Atlantic Coast Conference,5.45E+14,11/23/2013,148,159,307,,1,29,L
688,Syracuse,Atlantic Coast Conference,5.39E+14,8/31/2013,71,189,260,,3,37,L
688,Syracuse,Atlantic Coast Conference,6.88E+14,11/16/2013,143,104,247,,3,12,L
688,Syracuse,Atlantic Coast Conference,6.88E+14,10/19/2013,75,133,208,x,2,18,L
694,Tennessee,Southeastern Conference,6.94E+14,11/30/2013,218,199,417,,9,16,L
694,Tennessee,Southeastern Conference,2.57E+14,10/5/2013,189,215,404,,2,18,L
694,Tennessee,Southeastern Conference,3.71E+13,11/9/2013,226,128,354,,1,5,L
694,Tennessee,Southeastern Conference,6.94E+14,11/2/2013,94,240,334,x,8,13,L
694,Tennessee,Southeastern Conference,6.94E+14,10/26/2013,127,195,322,,9,28,L
694,Tennessee,Southeastern Conference,6.94E+14,9/14/2013,178,138,316,,9,11,L
694,Tennessee,Southeastern Conference,4.31E+13,8/31/2013,315,132,447,,33,16,W
694,Tennessee,Southeastern Conference,7.72E+14,9/7/2013,240,142,382,,28,16,W
694,Tennessee,Southeastern Conference,6.46E+14,9/28/2013,278,204,482,,37,4,W
694,Tennessee,Southeastern Conference,6.48E+14,10/19/2013,146,179,325,,36,17,W
694,Tennessee,Southeastern Conference,7.36E+14,11/23/2013,184,53,237,,7,31,L
694,Tennessee,Southeastern Conference,6.94E+14,9/21/2013,66,154,220,,8,16,L
697,Texas A&M,Southeastern Conference,6.24E+14,9/7/2013,214,500,714,,20,6,W
697,Texas A&M,Southeastern Conference,8.07E+12,9/14/2013,164,464,628,,21,5,W
697,Texas A&M,Southeastern Conference,3.71E+13,10/19/2013,133,469,602,,25,10,W
697,Texas A&M,Southeastern Conference,6.97E+14,10/12/2013,241,346,587,,36,17,W
697,Texas A&M,Southeastern Conference,6.63E+14,9/21/2013,265,316,581,,38,9,W
697,Texas A&M,Southeastern Conference,7.04E+14,11/2/2013,234,330,564,,39,9,W
697,Texas A&M,Southeastern Conference,7.36E+14,10/26/2013,182,376,558,,31,7,W
697,Texas A&M,Southeastern Conference,1.93E+14,12/31/2013,159,382,541,,34,17,W
